Age Group,Light Condition Desc,ACCIDENT_NO
30-39,Day,32005033645
30-39,Dark Street lights on,42005028021
30-39,Dusk/Dawn,52005022851
30-39,Day,52005001976
30-39,Day,32005014217
30-39,Dusk/Dawn,52005023751
40-49,Dark Street lights on,32005033622
40-49,Day,42005009487
40-49,Day,52005022155
40-49,Day,52005028970
40-49,Day,42005018990
40-49,Day,32005036041
40-49,Dusk/Dawn,32005033902
40-49,Day,42005033505
40-49,Dusk/Dawn,52005003980
40-49,Unknown,52005017037
5-12,Day,52005002443
5-12,Day,32005013625
5-12,Day,52005016360
5-12,Dark No street lights,52005033141
5-12,Day,42005031820
5-12,Day,32005014195
5-12,Dusk/Dawn,32005036728
5-12,Day,42005002606
5-12,Day,52005005848
5-12,Day,52005012921
50-59,Day,32005008063
50-59,Day,32005040890
5-12,Dark No street lights,52005019360
5-12,Day,52005013543
5-12,Day,42005030659
5-12,Day,32005012667
50-59,Dark No street lights,42005002809
50-59,Day,42005013157
50-59,Day,52005042592
50-59,Dark Street lights on,52005019562
50-59,Day,42005011114
50-59,Dusk/Dawn,32005013096
50-59,Day,52005039119
50-59,Day,42005008971
50-59,Day,52005035427
50-59,Day,42005003756
60-64,Dusk/Dawn,52005010436
60-64,Day,42005018840
64-69,Day,42005012279
70+,Day,32005011866
70+,Day,52005034629
70+,Day,42005008499
70+,Dusk/Dawn,42005019849
70+,Dusk/Dawn,52005010632
70+,Day,32005014257
70+,Day,52005002613
70+,Day,52005023772
70+,Day,52005020190
70+,Day,42005007680
70+,Day,52005035474
70+,Day,42005009627
70+,Day,42005004935
unknown,Day,32005010772
unknown,Dark Street lights on,42005002426
unknown,Day,42005008057
unknown,Dark Street lights on,52005018533
unknown,Day,52005034534
unknown,Day,52005006080
13-15,Day,42005025912
13-15,Unknown,42005028573
13-15,Day,42005028868
13-15,Day,42005029843
13-15,Day,52005016223
13-15,Dark Street lights on,42005021068
13-15,Day,52005025167
13-15,Day,42005029236
16-17,Dark No street lights,32005026044
16-17,Day,52005025319
16-17,Dark Street lights unknown,52005039911
16-17,Dark Street lights on,32005040569
40-49,Day,42005026742
40-49,Day,52005036612
40-49,Dusk/Dawn,52005038264
40-49,Day,52005003539
40-49,Day,52005041184
40-49,Day,52005020703
40-49,Day,42005031625
40-49,Day,52005029398
40-49,Day,52005035811
40-49,Day,52005008333
40-49,Day,32005009144
40-49,Day,32005024920
40-49,Dark Street lights on,32005020332
40-49,Day,32005028618
40-49,Day,42005009493
40-49,Day,42005029788
40-49,Day,42005011769
40-49,Day,42005030785
40-49,Day,42005005080
40-49,Day,42005016688
40-49,Day,42005009414
40-49,Day,42005025272
40-49,Dusk/Dawn,52005003944
40-49,Day,32005024808
64-69,Day,52005042003
17-21,Dusk/Dawn,52005006657
17-21,Dark Street lights on,52005040967
22-25,Dark Street lights off,32005024685
30-39,Dark No street lights,32005026640
30-39,Day,32005039233
30-39,Day,52005008472
40-49,Day,52005005394
50-59,Day,52005011243
70+,Day,52005010347
30-39,Day,32005015836
70+,Day,32005028846
70+,Day,42005017674
70+,Day,42005019176
70+,Day,42005024607
70+,Day,32005035281
70+,Day,32005019078
70+,Day,42005021455
70+,Day,52005008998
70+,Day,32005017542
70+,Day,42005024591
70+,Day,52005035066
70+,Day,32005013599
70+,Day,32005013472
